org/joda/time/Partial.java#224#class org.eclipse.jdt.core.dom.ThrowStatement
org/joda/time/field/UnsupportedDurationField.java#32#unknown
org/joda/time/Partial.java#223#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/field/UnsupportedDurationField.java#227#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/DurationFieldType.java#286#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#222#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#140#class org.eclipse.jdt.core.dom.MethodDeclaration
org/joda/time/Partial.java#162#class org.eclipse.jdt.core.dom.MethodDeclaration
org/joda/time/Partial.java#139#class org.eclipse.jdt.core.dom.ConstructorInvocation
org/joda/time/Partial.java#160#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#161#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#159#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#156#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#153#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/joda/time/Partial.java#154#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#155#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#434#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#435#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#438#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#439#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#440#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#458#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#459#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#460#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#461#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#462#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#463#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#466#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#432#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#433#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#429#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/DateTimeFieldType.java#457#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/base/AbstractPartial.java#175#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#217#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#218#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#221#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#346#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#212#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#245#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#213#class org.eclipse.jdt.core.dom.ForStatement
org/joda/time/Partial.java#214#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#215#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#216#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#207#class org.eclipse.jdt.core.dom.ForStatement
org/joda/time/Partial.java#208#class org.eclipse.jdt.core.dom.IfStatement
