org/apache/commons/cli/HelpFormatter.java#836#class org.eclipse.jdt.core.dom.ThrowStatement
org/apache/commons/cli/HelpFormatter.java#477#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#640#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/apache/commons/cli/HelpFormatter.java#642#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#643#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/cli/HelpFormatter.java#334#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#418#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#834#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/cli/HelpFormatter.java#416#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/apache/commons/cli/HelpFormatter.java#839#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#840#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/cli/HelpFormatter.java#742#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#660#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/apache/commons/cli/HelpFormatter.java#662#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#729#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/apache/commons/cli/HelpFormatter.java#730#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/cli/HelpFormatter.java#732#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/cli/HelpFormatter.java#738#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#740#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/cli/HelpFormatter.java#480#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/cli/HelpFormatter.java#746#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/cli/HelpFormatter.java#758#class org.eclipse.jdt.core.dom.MethodInvocation
org/apache/commons/cli/HelpFormatter.java#759#class org.eclipse.jdt.core.dom.Assignment
