org/jfree/data/time/TimeSeries.java#883#class org.eclipse.jdt.core.dom.ThrowStatement
org/jfree/data/time/TimeSeries.java#921#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#924#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#927#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#931#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/TimeSeries.java#932#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/TimeSeries.java#933#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#934#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/TimeSeries.java#935#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#939#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/TimeSeries.java#940#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#941#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/TimeSeries.java#942#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/TimeSeries.java#944#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#947#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#953#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/TimeSeries.java#879#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#882#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Day.java#125#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/SerialDate.java#500#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/Day.java#122#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Day.java#123#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Day.java#124#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#452#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/TimeSeries.java#433#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/TimeSeries.java#435#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/Day.java#302#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/TimeSeries.java#430#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/SpreadsheetDate.java#211#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/SpreadsheetDate.java#308#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/Day.java#404#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Day.java#405#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Day.java#406#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Day.java#407#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Day.java#423#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/Day.java#183#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/SerialDate.java#792#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/SpreadsheetDate.java#107#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/SpreadsheetDate.java#109#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/SpreadsheetDate.java#110#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#118#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/SpreadsheetDate.java#120#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#128#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/SpreadsheetDate.java#129#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#136#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#138#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Day.java#320#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/SpreadsheetDate.java#231#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/SpreadsheetDate.java#240#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/SpreadsheetDate.java#249#class org.eclipse.jdt.core.dom.ReturnStatement
